,time,count,length,before,after
0,0.0948,16,205,"Maple leaf,autumn,brook,{{{dynamic light}}},spring,a girl,white dress,white long hair,small chest,cat ears,half body,full moon,masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper","maple leaf,autumn,mook,{{{light}}},spring,girl,artist:yasutomo,white hair,chest,cat ears,full body,full moon,,best quality,official art,artist:kamigokuin"
1,0.0638,13,165,"Japanese temple,dusk,dynamic light,a girl,perspective,back,kimono,highlight,bird house,best quality,masterpiece,official art,extremely detailed CG unity 8k wallpaper","kashi uma,dusk,light,girl,perspective,back,kimono,highlights,birdhouse,best quality,,official art,artist:kamigokuin"
2,0.1883,38,635,"((illustration)), ((floating hair)), ((chromatic aberration)), ((caustic)), lens flare, dynamic angle, ((portrait)), (1 girl), ((solo)), cute face, ((hidden hands)), asymmetrical bangs, (beautiful detailed eyes), eye shadow, ((huge clocks)), ((glass strips)), (floating glass fragments), ((colorful refraction)), (beautiful detailed sky), ((dark intense shadows)), ((cinematic lighting)), ((overexposure)), (expressionless), blank stare, big top sleeves, ((frills)), hair_ornament, ribbons, bowties, buttons, (((small breast))), pleated skirt, ((sharp focus)), ((masterpiece)), (((best quality))), ((extremely detailed)), colorful, hdr","((diagram)), floating hair)), artist:ameno0u0)), stylistic)), lens flare, angle, copyright:majokabe)), 1girl), )), awesome face, bad hands)), asymmetrical bangs, eyes), eyeshadow, too many clocks)), glass)), glass shards), refraction)), cloudy sky), shadow)), backlighting)), overexposure)), expressionless), blank stare, wide sleeves, frills)), hair ornament, ribbon, bowtie, buttons, small breasts))), pleated skirt, coughing blood)), epic)), best quality))), oked oc)), colorful, "
3,0.0598,12,185,"library,Columnarbookshelf,limestone cave,best quality,in the desert ,cactus,Architectural relics,wilderness,a sunny day,official art,extremely detailed CG unity 8k wallpaper,masterpiece","library,bookshelf,union cave,best quality,desert ,,retro architecture,wasteland,sun-sun,official art,artist:kamigokuin,"
4,0.0731,15,233,"desert,karst landform,dry,rock,Huge mechanical parts,Temple Relics,Black stele,Desert Ruins,best quality,official art,extremely detailed CG unity 8k wallpaper,Genshin Impact,beautiful detailed sky,on a desert+nsfw,{{{{{{{Oasis}}}}}}}",",nature land,dry,rock,mechanical parts,temple,black iron,ruins,best quality,official art,artist:kamigokuin,delusion genshin impact,cloudy sky,talk of the hot sands,{{{{{{{}}}}}}}"
5,0.0655,13,246,"{{{{{{Indoor scientific experiment center}}}}}},science fiction,factory,{{{display device}}},Structure of large blocks,Digital painting,pipe,best quality,official art,extremely detailed CG unity 8k wallpaper,Genshin Impact,absurdres,huge filesize","{{{{{{national museum of nature and science}}}}}},science fiction,factory,{{{charging device}}},rotating block,digital art,,best quality,official art,artist:kamigokuin,delusion genshin impact,absurdres,big enough"
6,0.0817,17,175,"Cattle, animal ear, medium chest, kimono, lakeside, summer, green, forest, {{{birds}}}}, blue sky, white clouds, dynamic light, sunlight, highlight, masterpiece, a girl, bloom","bull, animal ears, chest, kimono, lake, summer, green, forest, bird (birds}}}}, blue sky, white sky, light, sunlight, highlights, , girl, bloom"
7,0.235,50,522,"Girl,photo,dynamic light,sunshine,highlight,masterpiece,sunset,exquisite girl,ASK,bloom,illustration,white hair,red eyes,cherry tree,ponytail,straw hat,dress,Genshin Impact,seashore,shell,distant view,mountain,exquisite golden beach,coconut tree with good texture,daytime,white clouds,thick coating,transparent,blue sea,seabirds,flowers,rocks,starfish,fruits,Seagull,butterfly,forest,crab,dolphin,lighthouse,reef,wild flower,banana,fill light,reflective,,best quality,official art,extremely detailed CG unity 8k wallpaper,","girl,photo,light,sunlight,highlights,,sunset,girl,question,bloom,diagram,white hair,red eyes,cherry tree,ponytail,straw hat,dress,delusion genshin impact,seaside,shell,alternate view,mountain,golden rose,coconut tree,daydream,white sky,cold coat,transparent,blue sea,bird (birds,flower,rock,starfish,fruit,seagull,butterfly,forest,crab,dolphin,lighthouse,coral reef,sweet flower,,light,reflection,,best quality,official art,artist:kamigokuin,"
8,0.089,18,210,"Girl,medium chest,masterpiece,brown hair,high horsetail,school uniform,village,green long scarf,summer,sunshine,dynamic light,highlight,bloom,,best quality,official art,extremely detailed CG unity 8k wallpaper,","girl,chest,,brown hair,horsetail plant,school uniform,village,green scarf,summer,sunlight,light,highlights,bloom,,best quality,official art,artist:kamigokuin,"
9,0.1679,34,417,"A girl,standing,armor,shock wave,mountain slope,dragon,rain,thunder,tears,dynamic light,highlight,masterpiece,particle special effect,sunlight,best quality,official art,extremely detailed CG unity 8k wallpaper, + nsfw, lowres, bad anatomy, bad hands, text error, missing fingers, extra digits, fewer digits, cropped, worst quality, low quality, standard quality, jpeg artifacts, signature, watermark, username, blurry","girl,standing,armor,shockwave,mountain,dragon,rain,thunder,tears,light,highlights,,light particles,sunlight,best quality,official art,artist:kamigokuin, + +, lowres, bad anatomy, bad hands, error, missing finger, digits, fewer digits, video crop, low quality, low quality, quality, jpeg artifacts, signature, watermark, username tag, blurry"
