,time,count,length,before,after
0,0.0124,16,205,"Maple leaf,autumn,brook,{{{dynamic light}}},spring,a girl,white dress,white long hair,small chest,cat ears,half body,full moon,masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper","maple leaf,autumn,jackie (bna,{{{light}}},spring,girl,white dress,white slime,chest,cat ears,alternate eye color,full moon,masterpiece,best quality,official art,portalcomic (artist"
1,0.0101,13,165,"Japanese temple,dusk,dynamic light,a girl,perspective,back,kimono,highlight,bird house,best quality,masterpiece,official art,extremely detailed CG unity 8k wallpaper","bishamonten's pagoda,dusk,light,girl,perspective,back,kimono,highlights,birdhouse,best quality,masterpiece,official art,portalcomic (artist"
2,0.0228,38,635,"((illustration)), ((floating hair)), ((chromatic aberration)), ((caustic)), lens flare, dynamic angle, ((portrait)), (1 girl), ((solo)), cute face, ((hidden hands)), asymmetrical bangs, (beautiful detailed eyes), eye shadow, ((huge clocks)), ((glass strips)), (floating glass fragments), ((colorful refraction)), (beautiful detailed sky), ((dark intense shadows)), ((cinematic lighting)), ((overexposure)), (expressionless), blank stare, big top sleeves, ((frills)), hair_ornament, ribbons, bowties, buttons, (((small breast))), pleated skirt, ((sharp focus)), ((masterpiece)), (((best quality))), ((extremely detailed)), colorful, hdr","((novel illustration)), floating hair)), copyright:chunsoft)), caustic tar)), lens flare, angle, self-portrait)), 1girl), sos)), awesome face, wrong hand)), asymmetrical bangs, extra pupils), eyeshadow, too many clocks)), glass shards)), glass shards), triple rainbow)), night sky), devoured by darkness)), copyright:garry's mod)), overexposure)), shrug), blank stare, wide sleeves, frills)), p hair ornament, ribbon, undone bowtie, buttons, small breasts))), pleated skirt, eye focus)), truth)), best quality))), oked oc)), colorful, optical illusion"
3,0.0096,12,185,"library,Columnarbookshelf,limestone cave,best quality,in the desert ,cactus,Architectural relics,wilderness,a sunny day,official art,extremely detailed CG unity 8k wallpaper,masterpiece","library,book stand,union cave,best quality,beach ,cactus,architecture,wasteland,sunny peace,official art,portalcomic (artist,masterpiece"
4,0.0112,15,233,"desert,karst landform,dry,rock,Huge mechanical parts,Temple Relics,Black stele,Desert Ruins,best quality,official art,extremely detailed CG unity 8k wallpaper,Genshin Impact,beautiful detailed sky,on a desert+nsfw,{{{{{{{Oasis}}}}}}}","desert,grand canyon,dry,rock,mech weapon,television,dark avenger,stone building,best quality,official art,portalcomic (artist,character:hina genshin impact,night sky,power bottom,{{{{{{{oasis}}}}}}}"
5,0.0099,13,246,"{{{{{{Indoor scientific experiment center}}}}}},science fiction,factory,{{{display device}}},Structure of large blocks,Digital painting,pipe,best quality,official art,extremely detailed CG unity 8k wallpaper,Genshin Impact,absurdres,huge filesize","science fiction,factory,{{{charging device}}},power comparison,vector art,pipe,best quality,official art,portalcomic (artist,character:hina genshin impact,absurdres,sample"
6,0.0119,17,175,"Cattle, animal ear, medium chest, kimono, lakeside, summer, green, forest, {{{birds}}}}, blue sky, white clouds, dynamic light, sunlight, highlight, masterpiece, a girl, bloom","bull, extra ears, flat chest, kimono, dock, summer, green, forest, like a bird}}}}, blue sky, white slime, light, sunlight, highlights, masterpiece, girl, bloom"
7,0.0308,50,522,"Girl,photo,dynamic light,sunshine,highlight,masterpiece,sunset,exquisite girl,ASK,bloom,illustration,white hair,red eyes,cherry tree,ponytail,straw hat,dress,Genshin Impact,seashore,shell,distant view,mountain,exquisite golden beach,coconut tree with good texture,daytime,white clouds,thick coating,transparent,blue sea,seabirds,flowers,rocks,starfish,fruits,Seagull,butterfly,forest,crab,dolphin,lighthouse,reef,wild flower,banana,fill light,reflective,,best quality,official art,extremely detailed CG unity 8k wallpaper,","girl,photo,light,sunlight,highlights,masterpiece,sunset,girl,song request,bloom,novel illustration,white hair,red eyes,cherry tree,ponytail,straw hat,dress,character:hina genshin impact,shallow water,shell,from ground,mountain,yellow fur,coconut tree,daydream,white slime,boned meat,transparent,blue sea,bird (birds,flowes,stone,starfish,fruit,seagull,butterfly,forest,crab,dolphin,lighthouse,root,flower (flowers,banana,light brand,reflection,,best quality,official art,portalcomic (artist,"
8,0.0124,18,210,"Girl,medium chest,masterpiece,brown hair,high horsetail,school uniform,village,green long scarf,summer,sunshine,dynamic light,highlight,bloom,,best quality,official art,extremely detailed CG unity 8k wallpaper,","girl,flat chest,masterpiece,brown hair,horsetail plant,school uniform,village,green scarf,summer,sunlight,light,highlights,bloom,,best quality,official art,portalcomic (artist,"
9,0.0211,34,417,"A girl,standing,armor,shock wave,mountain slope,dragon,rain,thunder,tears,dynamic light,highlight,masterpiece,particle special effect,sunlight,best quality,official art,extremely detailed CG unity 8k wallpaper, + nsfw, lowres, bad anatomy, bad hands, text error, missing fingers, extra digits, fewer digits, cropped, worst quality, low quality, standard quality, jpeg artifacts, signature, watermark, username, blurry","girl,standing,armor,shockwave,mountainous horizon,dragon,rain,thunder,tears,light,highlights,masterpiece,audio visualizer,sunlight,best quality,official art,portalcomic (artist, !, lowres, bad anatomy, bad hands, text-only page, missing finger, digits, fewer digits, cropped, worst quality, low quality, quality, jpeg artifacts, signature, watermark, username tag, blurry"
