,time,count,length,before,after
0,0.0194,16,205,"Maple leaf,autumn,brook,{{{dynamic light}}},spring,a girl,white dress,white long hair,small chest,cat ears,half body,full moon,masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper","maple leaf,brook cosplay,{{{light}}},girl,long hair,chest,face cutout,full moon,best quality,official art,copyright:unity game engine"
1,0.0179,13,165,"Japanese temple,dusk,dynamic light,a girl,perspective,back,kimono,highlight,bird house,best quality,masterpiece,official art,extremely detailed CG unity 8k wallpaper","kifune shrine,dusk,light,girl,highlights,birdhouse,best quality,official art,copyright:unity game engine"
2,0.0372,38,635,"((illustration)), ((floating hair)), ((chromatic aberration)), ((caustic)), lens flare, dynamic angle, ((portrait)), (1 girl), ((solo)), cute face, ((hidden hands)), asymmetrical bangs, (beautiful detailed eyes), eye shadow, ((huge clocks)), ((glass strips)), (floating glass fragments), ((colorful refraction)), (beautiful detailed sky), ((dark intense shadows)), ((cinematic lighting)), ((overexposure)), (expressionless), blank stare, big top sleeves, ((frills)), hair_ornament, ribbons, bowties, buttons, (((small breast))), pleated skirt, ((sharp focus)), ((masterpiece)), (((best quality))), ((extremely detailed)), colorful, hdr","((novel illustration)), floating hair)), chromatic aberration)), caustic tar)), lens flare, angle, portrait)), 1girl), sou)), awesome face, hands)), shading eyes), eyeshadow, too many clocks)), glass)), glass shards), refraction)), cloudy sky), living shadow)), backlighting)), overexposure)), expressionless), wide sleeves, frills)), hair ornament, ribbon (ribbons, bowtie, buttons, small breasts))), pleated skirt, eye focus)), masterpiece)), best quality))), detailed)), adjusted color balance"
3,0.0151,12,185,"library,Columnarbookshelf,limestone cave,best quality,in the desert ,cactus,Architectural relics,wilderness,a sunny day,official art,extremely detailed CG unity 8k wallpaper,masterpiece","shelving book,cave,best quality,desert ,retro architecture,nature land,sunlight,official art,copyright:unity game engine"
4,0.0191,15,233,"desert,karst landform,dry,rock,Huge mechanical parts,Temple Relics,Black stele,Desert Ruins,best quality,official art,extremely detailed CG unity 8k wallpaper,Genshin Impact,beautiful detailed sky,on a desert+nsfw,{{{{{{{Oasis}}}}}}}","stalagmite,mechanical parts,religious offering,stele,ruins,best quality,official art,copyright:unity game engine,delusion genshin impact,cloudy sky,desert"
5,0.0175,13,246,"{{{{{{Indoor scientific experiment center}}}}}},science fiction,factory,{{{display device}}},Structure of large blocks,Digital painting,pipe,best quality,official art,extremely detailed CG unity 8k wallpaper,Genshin Impact,absurdres,huge filesize","{{{{{{national museum of nature and science}}}}}},{{{tablet instrument block device}}},toy block,digital watercolor,pipe,best quality,official art,copyright:unity game engine,delusion genshin impact,meta:huge filesize"
6,0.021,17,175,"Cattle, animal ear, medium chest, kimono, lakeside, summer, green, forest, {{{birds}}}}, blue sky, white clouds, dynamic light, sunlight, highlight, masterpiece, a girl, bloom","cow, animal ear headwear, chest, lake, summer, bird (birds}}}}, cloud (clouds, light, sunlight, highlights, girl"
7,0.0494,50,522,"Girl,photo,dynamic light,sunshine,highlight,masterpiece,sunset,exquisite girl,ASK,bloom,illustration,white hair,red eyes,cherry tree,ponytail,straw hat,dress,Genshin Impact,seashore,shell,distant view,mountain,exquisite golden beach,coconut tree with good texture,daytime,white clouds,thick coating,transparent,blue sea,seabirds,flowers,rocks,starfish,fruits,Seagull,butterfly,forest,crab,dolphin,lighthouse,reef,wild flower,banana,fill light,reflective,,best quality,official art,extremely detailed CG unity 8k wallpaper,","light,sunlight,highlights,goddess,ask (askzy,bloom,novel illustration,ponytail,dress,delusion genshin impact,seaside,alternate view,gold bikini,coconut tree,daydream,cloud (clouds,cold coat,bird (birds,flower,jagged rocks,fruit,coral reef,sweet flower,light,reflection,best quality,copyright:unity game engine"
8,0.0216,18,210,"Girl,medium chest,masterpiece,brown hair,high horsetail,school uniform,village,green long scarf,summer,sunshine,dynamic light,highlight,bloom,,best quality,official art,extremely detailed CG unity 8k wallpaper,","chest,horsetail plant,village,green scarf,summer,sunlight,light,highlights,best quality,official art,copyright:unity game engine"
9,0.0348,34,417,"A girl,standing,armor,shock wave,mountain slope,dragon,rain,thunder,tears,dynamic light,highlight,masterpiece,particle special effect,sunlight,best quality,official art,extremely detailed CG unity 8k wallpaper, + nsfw, lowres, bad anatomy, bad hands, text error, missing fingers, extra digits, fewer digits, cropped, worst quality, low quality, standard quality, jpeg artifacts, signature, watermark, username, blurry","girl,standing,shockwave,mountaintop,thunder,light,highlights,light particles,sunlight,best quality,official art,copyright:unity game engine, nude, error message, missing finger, digits, cropped, best quality, username tag"
10,0.0374,39,447,"At noon,Sallulu,yellow light,reflection,sunlight,highlight,particle effect,edge light,light transmission,softness and transition,illustration,masterpiece,high quality,lady,girl,temptation,blue eyes,long hair,white hair,white necklace,white lace underwear,white stockings,bedroom,indoor light,pillow,rr bed,medium chest,liquid,curtain,vase,desk lamp,yellow plush toys,desk,Luxury,,official art,best quality,extremely detailed CG unity 8k wallpaper,","in 60min,rulu,yellow sky,sunlight,highlights,light particles,light,light,soft beauty,novel illustration,ladyzaza,temptation module,blue eyes,long hair,snowflake necklace,white panties,white pantyhose,indoors,heart bed,chest,curtains,yellow fur,luxurious sea-lord,official art,best quality,copyright:unity game engine"
11,0.0416,41,663,"medium chest,masterpiece,dynamic light,highlight,bloom,white hair,pink lipstick,pink powder blusher,long eyelashes,{{{{eye shadow}}}},sweater,off shoulder,short skirt,pink stockings,black hair band,{{best quality}},official art,{{extremely detailed CG unity 8k wallpaper}},standing,{{{mole under eye}}},{hand on own chest},in the market,{{{dyed bangs}}},{{{{{slim}}}}},{{{one adorable girl}}},{{hair over shoulder}},{{{{{cute face}}}}},{{alternate hair length}},{{floating hair}}, {{chromatic aberration}},{{caustic}}, lens flare, dynamic angle, {{portrait}},{{cinematic lighting}}, {beautiful detailed eyes},{{{{playgrr}}}},colorful, hdr, {{extremely detailed}},","chest,light,highlights,pink eyeshadow,{{{{eyeshadow}}}},sweater,shorts under skirt,pink legwear,black hairband,{{best quality}},official art,{{copyright:unity game engine}},standing,market,{{{{{slim101}}}}},{{{one girl}}},{{hair over shoulder}},{{{{{awesome face}}}}},{{alternate hair length}}, chromatic aberration}},{{caustic tar}}, lens flare, angle, portrait}},{{backlighting}}, shading eyes},{{{{playground}}}}, adjusted color balance, detailed}}"
12,0.0378,38,635,"((illustration)), ((floating hair)), ((chromatic aberration)), ((caustic)), lens flare, dynamic angle, ((portrait)), (1 girl), ((solo)), cute face, ((hidden hands)), asymmetrical bangs, (beautiful detailed eyes), eye shadow, ((huge clocks)), ((glass strips)), (floating glass fragments), ((colorful refraction)), (beautiful detailed sky), ((dark intense shadows)), ((cinematic lighting)), ((overexposure)), (expressionless), blank stare, big top sleeves, ((frills)), hair_ornament, ribbons, bowties, buttons, (((small breast))), pleated skirt, ((sharp focus)), ((masterpiece)), (((best quality))), ((extremely detailed)), colorful, hdr","((novel illustration)), floating hair)), chromatic aberration)), caustic tar)), lens flare, angle, portrait)), 1girl), sou)), awesome face, hands)), shading eyes), eyeshadow, too many clocks)), glass)), glass shards), refraction)), cloudy sky), living shadow)), backlighting)), overexposure)), expressionless), wide sleeves, frills)), hair ornament, ribbon (ribbons, bowtie, buttons, small breasts))), pleated skirt, eye focus)), masterpiece)), best quality))), detailed)), adjusted color balance"
13,0.0257,23,408,"ramatic angle,(fluttered detailed ink splashs),(illustration),(((1 girl))),(long hair),(rain:0.6),((expressionless)),((carmine hair ornament:1.4)),(there is a palace far away from the girl),chinese clothes,((focus on the girl)),color ink wash painting,(ink splashing),(huaqing splashing),((colorful)),[sketch],masterpiece,best quality,beautifully painted,highly detailed,(denoising:0.7),[splash ink],yin yang","angle,(ink stain),(novel illustration),(((1girl))),(long hair),((p hair ornament:1.4)),(palace of dragon idolmaster),((photobomb)),ink wash painting,(ink stain),(splashing),best quality,painted on,detailed,(noise reduction:0.7),[ink]"
14,0.0128,7,84,"over the sea,one girl,white pupils,high ponytail,wedding dress,necklace,official art","over water,wedding dress"
15,0.036,34,407,"{{{masterpiece}}},{{{best quality}}},{{ultra-detailed}},{illustration},{{an extremely delicate and beautiful}},dynamic angle,floating,{{detailed light 1girl}},loli,small_breasts,floating_hair,pointy_ears,halter dress,feather,leaves,river,{forest},{painting},{sketch},{bloom},depth of field,rough sketch,gothic,halloween,faceless male,crazy,dark persona,wings,straw hat,monster,ghost,star (symbol,knife,sword","{{{best quality}}},{{detailed}},{novel illustration},{{soft beauty}},angle,{{light erotic}},small breasts,floating hair,pointy ears,halter dress,feather (feathers,leaf (leaves,river,quick sketch,halloween,star (symbol,knife,sword"
16,0.0268,24,264,"1 little girl,long white hair,center frills dress,beautiful face,sitting arr a desk,in winter,snow,female,nose,pale skin,twin braids,idol,asian,eyelashes,freckles,wavy hair,long hair,brown hair,eyebrows,sweater jacket,green eyes,light blush,hoodie,high-waist skirt","1girl,white hair,frilled dress,awesome face,sitting on desk,winter,snow,mature female,eyelashes,freckles,long hair,eyebrows,hoodie,high-waist skirt"
17,0.013,9,82,"dynamic light,crazy mind,diamond,{joker},kill,hell,star,{black hole},giant machine","light,crazy,diamond (shape,{joker (dc},death,giant monster"
18,0.0343,33,602,"{{{masterpiece}}},{{the best quality}},super fine illustrations,beautiful and delicate water,Depth of field,fine 8KCG wallpapers,{extremely delicate and beautiful},{clear face},{delicate light},{{cinematic lighting}},detailed face,{portrait},Portrait lens,{{{Alphonse Mucha}}},{{Fantasy style}},{{shine}},{{{Tarot card}}},{lace},{ribbon},{detailed clothes},{multicolored Butterfly},{neon palette},{{{detailed flowers fill the screen}}},{{{{{{{Fill the screen 1 girl}}}}}}},long golden hair,pose,sage,druid,{{{{decorated green cloak}}}},decorated green hood,{{{detailed leaves fill the screen}}},no bra,","{{best quality}},artist:joeillustrate,water,official wallpaper,{soft beauty},{facial},{backlighting},{{backlighting}},detailed,camera lens,{{{copyright:zodiac alphonse mucha}}},{{fantasy}},{{{tarot}}},{clothes},{butterfly},{neon palette},{{{transparent flower}}},{{{{{{{splendid screen}}}}}}},very long hair,sage harpuia,druid,{{{{green cloak}}}},green hood,{{{privacy screen}}},no bra"
